United States,331341050
Brazil,212821986
Mexico,129166028
Colombia,50976248
Argentina,45267449
Canada,37799407
Peru,33050211
Venezuela,28421581
Chile,19144605
Guatemala,17971382
Ecuador,17688599
Bolivia,11700207
Haiti,11426356
Cuba,11325391
Dominican Republic,10866667
Honduras,9931333
Paraguay,7147553
Nicaragua,6638075
El Salvador,6491923
Costa Rica,5102158
Panama,4326296
Uruguay,3475842
Jamaica,2963429
Puerto Rico,2846860
Trinidad and Tobago,1400283
Guyana,787215
Suriname,587541
Guadeloupe,400136
Belize,398845
Bahamas,393893
Martinique,375213
French Guiana,299958
Barbados,287437
Saint Lucia,183774
Curaçao,164211
Grenada,112614
St. Vincent & Grenadines,111002
Aruba,106845
U.S. Virgin Islands,104398
Antigua and Barbuda,98069
Dominica,72017
Cayman Islands,65854
Bermuda,62237
Greenland,56787
Saint Kitts & Nevis,53264
Sint Maarten,42960
Turks and Caicos,38806
Saint Martin,38778
British Virgin Islands,30266
Caribbean Netherlands,26265
Anguilla,15026
Saint Barthelemy,9882
Saint Pierre & Miquelon,5789
Montserrat,4993
Falkland Islands,3497
